text,location
Watch live:  #CruzCrew,
We're just hours from our critical midnight fundraising deadline. Help us #CruzToVictory:,
This is a betrayal to all that Republicans across California have worked for:,
Im thrilled to see our team coming together in NE! #ChooseCruz:,
Gov.  Jobs. Freedom. Security. If you care about these issues please vote for Ted Cruz on Tuesday:,
Get your #CruzCarly2016 stickers now:,
Make sure as many voters as possible see our new ad featuring   #CruzCarly2016,
This campaign is about bringing Hoosier common-sense values to the entire country!,
". I see Ted Cruz as a principled conservative whos dedicated his career to advocating the Reagan agenda
",
. is a proven conservative who stands on principle. We need him in the House of Representatives:,
Don't miss   and me tonight on,
I'm proud to have the support of Indiana Governor  Help us #CruzToVictory:,
"Thank you Governor  for your support!

#ChooseCruz: 

",
#CruzCrew: I'm live with  on the radio now! Listen here:,
"#CruzCrew: join us in Indianapolis, Jeffersonville, or Evansville today:  ",
if you agree the people of Indiana deserve a debate!,
". To anyone who is thinking of how to vote in IN, please vote for   ",
"#CruzCrew help us fight back against  and the #WashingtonCartel

Donate &gt;&gt;&gt;  ",
"Join the fight for Jobs, Freedom, and Security for America: 
",
Help stop the #WashingtonCartel. Contribute now --&gt;,
". Ted Cruz is tested, trusted, and ready to lead, and I am honored to join him as his running mate!
",
Show your #CruzCarly support with our best-selling bumper sticker! Get yours now:,
"Back when  wasnt pretending to be an outsider, he wrote checks to Hillary's presidential campaign.
",
Get your Cruz-Fiorina gear today!,
"Tell me again who will stand up to Washington?  Trump, who's Boehner's ""texting and golfing buddy,"" or Carly &amp; me? ",
Join  and me today:,
. on the   can and will win this nomination  #CruzCarly,
Did you hear the news? Stand with  and me:  #CruzCarly,
#CruzCarly,
". is live on the  now! Listen here, #CruzCrew:  #CruzCarly ",
"Join the ticket committed to standing for jobs, freedom, and security! Donate now -----&gt;  ",
. This is about the future of the great country we must rebuild together:,
. Stand with us. Fight with us. We must restore the potential of this nation:,
. They wont challenge the system. They are the system,
. Donald and Hillary would both be disastrous for this nation. Theyre flip sides of the same coin,
. There is a lot at stake. This is a fight for the soul of our party and the future of our nation,
The difference between me and  on one side and Donald and Hillary on the other could not be starker.,
I make this announcement today so you know what you'll get. The voters deserve to know what they're going to get,
The Hoosier state is about to have a powerful voice in this race:,
. respects the Bill of Rights and understands the threats facing America.,
"If I am nominated, I will run on a ticket with  as my Vice President. Join us: 
",
The American people deserve a real choice in November. A choice and not an echo. Join us:,
#CruzCrew: watch our rally in Indianapolis LIVE at 4 pm ET here:,
Donald's speech is the most dramatic evidence thus far that he fails the presidential test.,
"We hope to see you at 4 pm in Indianapolis: 
",
Honored to earn the support of Senator,
"Join us at 4 pm: 
",
"Its been 48 days since the last #GOPDebate.

Indiana deserves a debate,  ",
"Join us in Indianapolis at 4 pm today for a major announcement!

RSVP here: 
",
"If I am elected president, our special relationship with the UK will be strengthened. ",
The eyes of the nation are now gazing upon Indiana to make a decision for our country:,
We are tired of a president who divides us. We need a president who unites us and reminds us of who we are as Americans.,
This race is simple. Donald Trump and Hillary Clinton are both big government liberals.,
I am the same person today as I was yesterday and that I will be tomorrow as president:,
Were all fed up with politicians who betray us. Donald is telling us he is lying to us.,
"Donald Trump and Hillary both supported Bill Clintons ban on some of the most popular firearms in America. As president, Ill defend #2A!",
"As president, I'll secure the border and stop amnesty:  ",
"Donald and Hillary both support the Obamacare individual mandate. As president, I will repeal every word of Obamacare. #FullRepeal",
My number one priority is bringing back jobs and economic growth. Join us:,
Thank you!,
"Rhode Island, there's still time to #ChooseCruz before the polls close:  ",
. Issues Challenge to  Debate in Indy,
