text,location
"Don't give away the White House. Choose Victory.

Donate before tonight's midnight deadline!  ",
That's great! Have an awesome time! -John,
"""Facts are stubborn things.""
",
Gov. Kasich is about to take the stage at the California GOP Convention. Watch live at,
"John Kasich has a challenge for Oregonians.
",
"Don't give away the White House. Choose Victory in November. 

 ",
Our nation's budget is out of control. John Kasich is the one candidate who knows what it takes to fix it.,
"""Donald Trump doesnt have a prayer against Hillary Clinton in the general election."" ",
A loss of one of Montana's great public servants. My deepest condolences to the Burns family. -John,
"Buckeyes just set an #NFLDraft record with 3 players in the top ten.

How about another for the Gipper? #TBT ",
A big endorsement for John Kasich,
,
Increasing opportunity for HS students to take college courses is making higher ed more affordable for 1000s in,
"WV paper: ""Kasich shows best qualities for president""

LINK:  ",
"WASH POST: New endorsement a ""shot in the arm"" for Kasich campaign. ",
"Another endorsement in Oregon for Gov Kasich.

 man has enough character to stand up for what he believes ",
Visit  to stock up on campaign swag for the summer!,
How John Kasich and Donald Trump discuss foreign affairs ... without a teleprompter.,
"John Kasich has assembled a 40-member national security team of experts. 

Experience matters. ",
"Watch our new Oregon ad and consider chipping in to keep it going strong.  #Kasich4Us
",
"Only one is qualified to lead as Commander-in-Chief.

John Kasich. ",
"Asked which candidate would best manage foreign affairs, 54% of US  experts said Kasich. 2% said Trump ",
Do your part to keep John Kasich's campaign moving ahead. Contribute by clicking,
"Never wavering from his commitment to a campaign focused on optimism and strength, John Kasich will continue making his supporters proud.",
"Time and again John Kasich has rebooted how government works for taxpayers, delivering on each and every promise.",
"Throughout his career, John Kasich has shaken up the system -- with accomplishments no one thought possible.",
America deserves a president that will make us proud. John Kasich's fight will continue.,
Let's Get It Done.,
"""This is the path I believe in.""

#TwoPaths #Kasich4US ",
"There is only one candidate who can shake things up and get things done. 

John Kasich. ",
Big applause for Uncle George!,
John Kasich will be live with  tonight around 830p ET. Be sure to tune in!,
"John Kasich doesn't just shake up the system. He gets results. 

Check it out. ",
"The  endorses John Kasich for his pro-business, fiscally conservative message. ",
Our campaign store is all stocked up with summer swag! Check out our new items at,
"""Kasich ... has actually accomplished things that have moved the conservative agenda forward.""

",
"Skyrocketing debt under a President Clinton would have a real-life impact. #FoxNewsTownHall
",
"Here are highlights of the Two Paths speech the governor just spoke about on the #FoxNewsTownHall
",
"The more you 

#FoxNewsTownHall ",
"""Most of the country simply doesn't like [Trump &amp; Cruz].""

#FoxNewsTownHall
",
"John Kasich is currently running a strong 2nd in Tuesday's primary states of MD, CT, DE and RI. Cruz is a distant third. #FoxNewsTownHall",
John Kasich is on the #FoxNewsTownHall showing why experience is so vital in a Commander-in-Chief.,
Do a little compare and contrast between John Kasich and Donald Trump on Foreign Affairs. #FoxNewsTownHall,
"""Buyer's Remorse"" in New Hampshire.



#FoxNewsTownHall ",
"Republicans, let's put Pennsylvania in play. #FoxNewsTownHall ",
"15 polls in a row.

#FoxNewsTownHall
",
"""Why Polls Show John Kasich is the Only Republican Who Can Defeat Hillary Clinton"": 

#FoxNewsTownHall",
"When John Kasich came into office, Ohio had been knocked for a loop -- losing 350k jobs. Since  ",
"John Kasich balances budgets. He's done it in DC. He's done it in Ohio.

Read the plan:  ",
Tune in NOW to see John Kasich on  in America's Town Hall.,
Tune in tonight to  at 810p ET to see John Kasich on America's Town Hall.,
Catalina is volunteering in PA. She's supporting John Kasich because she wants a better future for her grandkids.,
The latest NBC/Marist poll makes the point again -- the White House is too important to just give away to Clinton.,
"The Philadelphia Inquirer endorses John Kasich, telling voters who really want to shake things up -- vote Kasich. 

",
Go ahead and set your DVRs now!,
Only one is ready to be Commander-in-Chief. #Kasich4Us,
Thank you so much for coming out today!,
"Good morning, Rhode Island! Thanks for the warm welcome at  ",
"John Kasich is LIVE now in Smithfield, RI. Watch on our Facebook page: ",
"Thanks, looking forward to tomorrow's Smithfield, RI event! ",
"Phenomenal crowd in Glastonbury, CT tonight! Watch live at  ",
"Ronald Reagan won the presidency by building a broad &amp; diverse coalition of support. 

Only Kasich can do the same. ",
Thx for coming out!,
"Our current POTUS wasn't ready for the job, and today's problems are too important for more on-the-job training.
",
We'll continue to monitor this closely and the state will work w/ local law enforcement however we can. -John 2/2,
Reports we are receiving from Peebles are tragic beyond comprehension. -John 1/2,
Grateful for the support of our friends in the Ohio legislature!,
