text,location
  New poll shows #DonaldTrump with 15 point lead over  in Indiana. 
  New poll shows #DonaldTrump with 15 point lead over  in Indiana. 
  New poll shows #DonaldTrump with 15 point lead over  in Indiana. 
  New poll shows #DonaldTrump with 15 point lead over  in Indiana. 
  #DonaldTrump: I really believe in in TRASHING your #enemies and and really being loyal to your   
#DonaldTrump is actually a woman and a lesbo
  New poll shows #DonaldTrump with 15 point lead over  in Indiana. 
  New poll shows #DonaldTrump with 15 point lead over  in Indiana. 
  New poll shows #DonaldTrump with 15 point lead over  in Indiana. 
  New poll shows #DonaldTrump with 15 point lead over  in Indiana. 
  New poll shows #DonaldTrump with 15 point lead over  in Indiana. 
  New poll shows #DonaldTrump with 15 point lead over  in Indiana. 
  New poll shows #DonaldTrump with 15 point lead over  in Indiana. 
  New poll shows #DonaldTrump with 15 point lead over  in Indiana. 
  New poll shows #DonaldTrump with 15 point lead over  in Indiana. 
  New poll shows #DonaldTrump with 15 point lead over  in Indiana. 
  New poll shows #DonaldTrump with 15 point lead over  in Indiana. 
  When we say #God Bless America we must mean God. Pray for #DonaldTrump to keep him safe.
  New poll shows #DonaldTrump with 15 point lead over  in Indiana. 
  New poll shows #DonaldTrump with 15 point lead over  in Indiana. 
#DonaldTrump May a sea gull drop a little color to your hair  your admirer Carnac the Magificent 
New poll shows #DonaldTrump with 15 point lead over  in Indiana. 
  #DonaldTrump: I really believe in in TRASHING your #enemies and and really being loyal to your   
"KKK Imperial Wizard Endorses Trump, Won't Vote For Cruz Because He Was Born In  #DonaldTrump #TedCruz "
  #DonaldTrump: I really believe in in TRASHING your #enemies and and really being loyal to your   
"  #DonaldTrump holds rally in #Carmel #Indiana 5/2/16, 4PM ET  #Hammond #Evansville #Muncie #Goshen #ccot Watch Live: ht"
"  #DonaldTrump holds rally in #SouthBend #Indiana 5/2/16, 7PM ET  #indianapolis #Bloomington #Anderson  Watch Live: http"
"  Kambree Nelson,  Emotional Testimonial - Meeting #DonaldTrump in #California (Video) #Indiana #WestVirginia htt"
  How #DonaldTrump would promote stability in the Middle East  |  
"Kambree Nelson,  Emotional Testimonial - Meeting #DonaldTrump in #California (Video) #Indiana #WestVirginia "
"  #DonaldTrump Says: Thank you Fort Wayne, Indiana!
#Trump2016 #INPrimary "
"  Let it be, Lord!  Thank you, #DonaldTrump!  #MAGA "
"Let it be, Lord!  Thank you, #DonaldTrump!  #MAGA "
#CruzCarly2016 victory in Arizona Saturday. #TrumpTrain slowed down by lack of organization. Shame on #DonaldTrump  
"  If you missed #BobbyKnight speaking of  #DonaldTrump yesterday on #JudgeJeanine's show, you MUST watch this! "
"  
#CruzCrew seriously, think about #TedCruz 
#DonaldTrump
#INPrimary
#Hoosiers4Trump 
#CAPrimary
#MAGA  http"
   in Fort Wayne. #MAGA #Decision2016 #Election2016 #DonaldTrump #TrumpTrain  
"#DonaldTrump Says: Thank you Fort Wayne, Indiana!
#Trump2016 #INPrimary "
