"Trump locks down Delaware GOP delegates. #Trump2016 #MAGA 
"
The economy is bad and getting worse-almost ZERO growth this quarter. Nobody can beat me on the economy (and jobs). MAKE AMERICA GREAT AGAIN
"""    "
"The ""protesters"" in California were thugs and criminals. Many are professionals. They should be dealt with strongly by law enforcement!"
".  Anderson, so amazing. Your mother is, and always has been, an incredible woman!"
We are now at 1001 delegates. We will win on the first ballot and are not wasting time and effort on other ballots because system is rigged!
Thank you Indiana! #Trump2016
"Crooked Hillary Clinton, perhaps the most dishonest person to have ever run for the presidency, is also one of the all time great enablers!"
"Wow, the ridiculous deal made between Lyin'Ted Cruz and 1 for 42 John Kasich has just blown up. What a dumb deal - dead on arrival!"
"Thank you Costa Mesa, California! 31,000 people tonight with thousands turned away. I will be back! #Trump2016 "
"New York Yankees President, Randy Levine: 'End of the Republican Party' If Donald Trump Not Nominated.  
"
I will be interviewed on  with the legendary Coach Bobby Knight- tomorrow morning. Enjoy! #INDPrimary
#MakeAmericaGreatAgain #Trump2016
#MakeAmericaGreatAgain
"Thank you Evansville, Indiana! 
#MakeAmericaGreatAgain "
"Heading to rally with Bobby now! See you soon!
"
So many false and phony  commercials being broadcast in Indiana. Reminds me of Florida where thousands were put up-I won in a landslide!
"I will be in Evansville, Indiana, with the great Bobby Knight (who last night endorsed me) at 12:00 this afternoon. See you there!"
"Lyin' Ted Cruz, who can never beat Hillary Clinton and has NO path to victory, has chosen a  who failed badly in her own effort"
I will be interviewed on the  at 7:00  this morning. Enjoy!
Thank you to all for the wonderful reviews of my foreign policy speech. I will soon be speaking in great detail on numerous other topics!
""" I cried when they said you made a clean sweep of all 5 states. I was SO HAPPY! I really adore you Mr. Trump, so much."""
"Getting the strong endorsement of the great coach, Bobby Knight, has been a highlight of my stay in Indiana. Big speech tomorrow with Bobby!"
"I am in Indiana where we just had a great rally. Fantastic people! Staying at a Holiday Inn Express - new and clean, not bad!"
Thank you Laura!
"Thank you for the endorsement, Coach Bobby Knight! I will never forget it!
 "
"Join me on  from Indianapolis, Indiana at 7pmE! Enjoy! #Trump2016 
"
"THANK YOU Connecticut, Delaware, Maryland, Pennsylvania, and Rhode Island! #MakeAmericaGreatAgain "
Agreed!
Thank you Newt!
Thanks Dave!
Thanks!
Thank you! WE will MAKE AMERICA GREAT AGAIN!
Thank you!
Thank you Delaware! #Trump2016
Thank you Rhode Island! #Trump2016
Thank you Connecticut! #Trump2016
Thank you Pennsylvania! #Trump2016
Thank you Maryland! #Trump2016
Thank you America! #Trump2016
"Lets #MakeAmericaGreatAgain, Maryland! #VoteTrump 
"
"You have until 8pm to #VoteTrump, Delaware! "
"Thank you for a great day yesterday, Rhode Island! #VoteTrump
"
Six hours left to #VoteTrump Connecticut!
"Lets go Pennsylvania! #VoteTrump 
"
How bad is the New York Timesthe most inaccurate coverage constantly. Always trying to belittle. Paper has lost its way!
"Thank you for the incredible support- Melania, Barron, Ivanka, Jared, Tiffany, Don, Vanessa, Eric, and Lara!
"
"Bernie Sanders has been treated terribly by the Democratsboth with delegates &amp; otherwise. He should show them, and run as an Independent!"
"Thank you  &amp;  #Trump2016 
"
"MAKE AMERICA GREAT AGAIN!
 "
"The Cruz-Kasich pact is under great strain. This joke of a deal is falling apart, not being honored and almost dead. Very dumb!"
"Thank you Wilkes-Barre, Pennsylvania! 
#MakeAmericaGreatAgain #Trump2016 
"
"Get out and VOTE tomorrow! We will MAKE AMERICA GREAT AGAIN! 
#CTPrimary #DEPrimary #MDPrimary #PAPrimary #RIPrimary
"
Passing what was once a vibrant manufacturing area in Pennsylvania. So sad! #MakeAmericaGreatAgain
"Thank you West Chester, Pennsylvania!
#PAPrimary #VoteTrump
 "
"Thank you Warwick, Rhode Island!
#RIPrimary #VoteTrump 
 "
On the way to the great state of Rhode Island- big rally. Then to Pennsylvania for rest of day and night!
Kasich just announced that he wants the people of Indiana to vote for him. Typical politician - can't make a deal work.
Shows how weak and desperate Lyin' Ted is when he has to team up with a guy who openly can't stand him and is only 1 win and 38 losses.
Lyin' Ted Cruz and 1 for 38 Kasich are unable to beat me on their own so they have to team up (collusion) in a two on one. Shows weakness!
Lyin' Ted and Kasich are mathematically dead and totally desperate. Their donors &amp; special interest groups are not happy with them. Sad!
"Wow, just announced that Lyin' Ted and Kasich are going to collude in order to keep me from getting the Republican nomination. DESPERATION!"
I am happy to hear how badly the  is doing. It is a seriously failing paper with readership which is way down. Becoming irrelevant!
""" . awesome job on  DonaldTrump has integrity &amp; he refuses 2 play the game call ""Delegate Bribery"""
""" #NYPrimary turned Trump from frontrunner into presumptive #GOP nominee  "
I will be in Maryland this afternoon for a major rally. Things are looking good for Tuesday!
.  Great job and advice on     Thank you!
. was great on  tonight. Very smart commentary that will prove to be correct!
"As soon as John Kasich is hit with negative ads, he will drop like a rock in the polls against Crooked Hillary Clinton. I will win!"
I had a great day campaigning in Connecticut. Looking for a big vote on Tuesday!
Congratulations to  on his great ratings and ratings increase as reported by the  today. Amazing job!
Lynne Ryan -- just read your great story in the NY Times -- I am proud of you. Thanks!
"Thank you Delaware! #Trump2016 
#MakeAmericaGreatAgain #TrumpTrain
 "
"Thank you Bridgeport, Connecticut!
#MakeAmericaGreatAgain #Trump2016
 "
"Thank you Waterbury, Connecticut!
#MakeAmericaGreatAgain #Trump2016
 "
"#MakeAmericaGreatAgain
Video:  "
Pennsylvania: Cast your vote for Trump for POTUS &amp; ALSO vote for the TRUMP DELEGATES in your congressional district!
"Will be spending the day campaigning in Connecticut, another state where jobs are being stolen by other countries. I will stop this fast!"
"Thank you Pennsylvania! #Trump2016
 "
"Thank you Indiana! Was great seeing everyone on Wednesday! I will be back soon! #Trump2016
 "
"Thank you California! See you soon!
#MakeAmericaGreatAgain #Trump2016
 "
"Thank you,  #Trump2016 #MakeAmericaGreatAgain 
 "
"Thank you for the incredible support, Maryland! This is a movement!
#MakeAmericaGreatAgain #Trump2016
"
I met Prince on numerous occasions. He was an amazing talent and wonderful guy. He will be greatly missed!
Cruz said Kasich should leave because he couldn't get to 1237. Now he can't get to 1237. Drop out LYIN' Ted.
Both Ted Cruz and John Kasich have no path to victory. They should both drop out of the race so that the Republican Party can unify!
Senator Ted Cruz has been MATHEMATICALLY ELIMINATED from race. He said Kasich should get out for same reason. I think both should get out!
"I will be doing the  with my wife, Melania, and the rest of my family in a major Town Hall. Hopefully, it will be fun! "
Thank you Maryland- what a great way to conclude the day! Will be back soon. #Trump2016
We are going to bring steel and manufacturing back to Indiana!
Had a meeting with the terrific  of Indiana. So excited to campaign in his wonderful state!
"Thank you Indiana! Will be back soon!
#Trump2016 #MakeAmericaGreatAgain "
#Trump360 Watch this 360 video of my speech last night at Trump Tower-
Off to Indiana! #Trump2016
"Ted Cruz is mathematically out of winning the race. Now all he can do is be a spoiler, never a nice thing to do. I will beat Hillary!"
MAKE AMERICA GREAT AGAIN!
"""      Wow, really nice!"
"Thank you New York, I will never forget!"
"Thank you New York! I love you!
#MakeAmericaGreatAgain #Trump2016 "
". is so negative it is impossible to watch. Terrible panel, angry haters. Bill O   said such an amazing thing about me!"
""" Look everybody, DonaldTrump will win it on the first ballot so keep praying!!! #TrumpTrain #Trump2016 #MakeAmericaGreatAgain"""
"""  Your policies will make this state and country great again! #MakeAmericaGreatAgain "
"""  Everybody is ""In A New York State of Mind"" now!"""
"Polls close in 3 hours! Everyone get out and VOTE!
#Trump2016 #MakeAmericaGreatAgain
"
"Discussing #NewYorkValues
in Buffalo last night- on the eve of the #NYPrimary.
LETS GO NY! #VoteTrump 
"
