"Crees que cuando sea presidenta, le van a pagar lo mismo que le pagaran si fuera un hombre?
"
"There's a lot more that unites us than divides us.
"
"If you see a bully, stand up to him. "
Lower wages! No paid family leave! Limited access to health care! Just some of the perks of your #WomanCard:
"Estas son las promesas de Trump. As podra ser su presidencia.
"
"Get your own #WomanCard*: 

*does not include a 21% discount on your purchases. "
An entire deck of woman cards? Deal us in.
What can we do to fight the Zika threat? Hillary answers on
"If you see bigotry, oppose it. If you see violence, condemn it. If you see a bully, stand up to him.
"
Conoce alguno de los logros de Hillary Clinton a travs de los aos.
Want one? Chip in now:  #WomanCard
"If fighting for women is ""playing the #WomanCard,"" what card is Trump playing?
"
Hate isn't an American value.
Fact: Donald Trump said women should be punished for seeking an abortion.
"Couldn't agree more,  It's time for Republicans to address this threat:  -H "
#TBT to 2008 when Hillary helped make emergency contraception available over the counter:
". Does Donald Trump intimidate you?

Hillary: No. #TBT
"
"Candidate Trump opposes equal pay, paid leave, and Planned Parenthood.

President Trump? Same.
"
Capt. Kristen Griest is about to become the Army's first female infantry officer. Well done.  -H
"""Everything I say, I'm going to do, folks."" 
"
"Turning away Muslims, pitting Americans against each other, inciting violence and chaosthese aren't our values.
"
The  has 5% of the world's women but nearly 30% of its women prisoners. The consequences are devastating.
Yikes.
"Donald Trump's foreign policy isn't just offensive, it's dangerous.  "
"So if fighting for women is playing the #WomanCard,  "
Trump's rhetoric is just the beginning. He's dismissed equal pay. Wouldn't support paid family leave. Would defund Planned Parenthood.
Women still face too many barriersa president shouldn't be part of the problem. Comments like Trump's set us back.
"They might make flashy headlines, but Trump's comments aren't a joke. Hillary can handle these attacks. Millions of women shouldn't have to."
"Last night, the ""#womancard."" This morning, Trump said he ""hasn't recovered"" from Hillary's ""shouting."" Really? "
"After a week of reports that Trump would change his tone heading into the general election, once again he's letting his true colors show."
Donald Trump's anti-Muslim rhetoric goes against everything we stand for.
"Civil rights and voting rights.
Workers rights and womens rights.

Let's defend them all.
"
"Fighting for women's health care, equal pay, and paid leave.
Or as Donald Trump says, playing the ""woman's card.""
"
"""That is how progress gets made: We have to be both dreamers and doers."" Hillary last night in PA "
"Caught your speech,  About that ""woman's 
"
"Imagine a tomorrow where hard work is honored, families are supported, communities are strong, and love trumps hate.
"
"Thank you, Connecticut. "
Text IMWITHHER to 47246 to tell Hillary you've got her back.
"Thanks to you, victory is in sight. Pitch in $1, and let's go win this nomination: "
"""Lets go forward. Lets win the nomination."" Hillary  "
"""Imagine a tomorrow  trumps hate. Hillary"
"Imagine a tomorrow where instead of building walls, were breaking down barriers. Hillary "
"If fighting for womens health care and paid family leave and equal pay is playing the woman card, then deal me in. Hillary"
"Civil rights &amp; voting rights.
Workers rights &amp; womens rights.
LGBT rights and rights for people with disabilities.

Let's defend them all."
"""We all agree that wages are too low and inequality is too high. That Wall Street can never again be allowed to threaten Main Street."""
"""We can build on a strong progressive tradition from Franklin Roosevelt to Barack Obama."" Hillary"
"Whether you support Senator Sanders or you support me, theres much more that unites us than divides us. Hillary"
"""Our campaign is about restoring peoples confidence in our ability to solve problems together"" Hillary"
"Americans are hungry for solutions. They dont just want us to diagnose problems, they want us to solve them."
"More than 1.1 million have donated.
Chip in now to join this team: "
"""Were going to come back to  the most votes and the most pledged delegates. Well unify our party to win this election."
Watch live: Hillary speaks on tonight's primary results in Philadelphia.
"Tonight's wins belong to every organizer, volunteer, donor, and supporter who've built this campaign. Thank you. "
"Vote by vote, state by state, this team is building something special. Thanks for believing. -H "
Pennsylvania! Thanks to everyone who made this possible. This win is yours.
"We did it, Delaware! "
"Thank you, Maryland. "
Three answers from last nights  town hall that you should see:
Love this. Great to see Chobani sharing its success with the employees who helped make it possible. -H
"Polls close soon in CT, DE, MD, PA, and RI. Confirm where to go here, then head over:  "
"We are not a post-racial society. We still struggle with racismand it's not only wrong, it's holding us back.
"
"If our leaders won't stand up to the gun lobby, we need to hold them accountable.
"
"Live in CT, DE, MD, PA, or RI? Go vote: Hillary needs you. Text WHERE to 47246 to find your polling place. "
"Women deserve the same rights as men in every aspect of our economy and our societyat home and around the world.
"
"Its Primary Day in CT, DE, MD, PA, and RI. If youre with Hillary, add your name and make a plan to vote today: "
"Primarias en Connecticut, Maryland, Pensilvania, Delaware y Rhode Island. #EstoyConElla  "
"We've heard way too much hateful rhetoric in this campaign.

We need more love and kindness.
"
"Voters in CT, DE, MD, PA, and RI head to the polls today.  this if youre voting for Hillary. "
"America's gun violence epidemic is out of control. No more excuseswe need to act to save lives.
"
"""I'm a feminist because I believe women deserve the same rights as men."" Hillary #MSNBCTownhall"
"""As a white person, I have to talk about [racism] more. We are not a post-racial society."" Hillary to  #MSNBCTownhall"
"Eight-year-old Noah became part of Hillary's Secret Service detail this weekend. Here's how.
"
"Connecticut, Maryland, Pensilvania, Delaware y Rhode Island.  #EstoyConElla "
"""Voters can count on her to bring that same passion for getting the job done to the White House."" "
She's more accomplished than any other candidate.
"This might sound strange coming from a presidential candidate, but what we really need is more love and kindness.
"
"In 1990, explorer and marine biologist Sylvia Earle became the first woman appointed chief scientist at  "
"""Ms. Clinton has advanced realistic, well thought out proposals.""   "
Editorial boards in Tuesday primary states are urging their readers to vote for Hillary Clinton. Here's why.
"Let's stand together to do all the good we can, in all the ways we can, for as long as we can.
"
"""Everybody has a story. Everybody has a life worth dignity and protection.""
"
La lucha por la cobertura mdica a bajo costo lleva ms de medio siglo y Hillary ha sido una lder por dcadas.
Not interested in endorsements from people who deny climate science and try to make it harder for people to vote.
